"MLS_Number,Address,City,Province,Price,Property_Type,Land_Size_SqFt,Zoning,Features,Time_on_Market,Listing_Agent,Brokerage"
"E4421921,Rge Rd 222 North of Highway 16,Rural Strathcona County,AB,1825000,Vacant Land,,Agricultural,Ravine view,80,Shane Gwilliam,Sable Realty"
"E4438464,Sec Hwy 623 RR 244,Rural Leduc County,AB,3200000,Vacant Land,,Agricultural,""Flat site Level Airport Golf Course nearby"",80,Dragic Janjic,RE/MAX River City"
"E4427420,W. side of 224 Half-mile south of Yellowhead,Sherwood Park,AB,3725000,Vacant Land,7609932,Industrial,""Near Cambrian Bremner massive potential Business/Industrial Site Trunk Lines Sanitary Water nearby"",80,Dylan L. Kelley,RE/MAX Real Estate"
"E4415241,W4 R24 T49 S18 SE,Rural Leduc County,AB,1850000,Vacant Land,,Agricultural,,80,Daniel S. Rowland,Exp Realty"
"E4442105,22531 Hwy 21,Leduc County,AB,749000,Residential,871200,Residential,""Acreage Country living"",75,Jeff McLeod,SkyeBridge Consulting"
"E4439583,Rge Rd 14 Twp Rd 510,Fort Saskatchewan,AB,3950000,Agricultural,,,Agricultural land,90,Agent Name,Brokerage Name"
"E4441234,53084 Rge Rd 213,Ardrossan,AB,3300000,Commercial,130680,Commercial,""3 acres commercial zoned"",85,Agent Name,Brokerage Name"
"E4440987,Edmonton Development Site,Edmonton,AB,4500000,Development,,Mixed Use,""Prime development location"",60,Agent Name,Brokerage Name"
"E4441567,Edmonton Commercial Land,Edmonton,AB,5500000,Commercial,,Commercial,""Highway frontage"",70,Agent Name,Brokerage Name"
"E4439876,Beaumont Commercial,Beaumont,AB,3160000,Commercial,,Commercial,""Commercial zoned town center"",65,Agent Name,Brokerage Name"
"E4440123,Beaumont Development,Beaumont,AB,2100000,Development,,Residential,""Residential development potential"",55,Agent Name,Brokerage Name"
"E4441890,Rural Leduc Acreage 1,Rural Leduc County,AB,1200000,Agricultural,,Agricultural,""Large acreage agricultural"",45,Agent Name,Brokerage Name"
"E4442001,Rural Leduc Acreage 2,Rural Leduc County,AB,2800000,Agricultural,,Agricultural,""Premium agricultural land"",50,Agent Name,Brokerage Name"
"E4442156,Rural Leduc Development,Rural Leduc County,AB,7900000,Development,,Mixed Use,""Major development opportunity"",95,Agent Name,Brokerage Name"
"E4441678,Parkland County Estate,Rural Parkland County,AB,6000000,Residential,,Residential,""Estate property acreage"",40,Agent Name,Brokerage Name"
"E4441789,Parkland County Commercial,Rural Parkland County,AB,2900000,Commercial,,Commercial,""Commercial highway access"",35,Agent Name,Brokerage Name"
"E4442267,Parkland County Premium,Rural Parkland County,AB,10750000,Agricultural,,Agricultural,""Premium agricultural estate"",120,Agent Name,Brokerage Name"
"E4441345,Leduc County Waterfront,Leduc County,AB,3500000,Residential,,Residential,""Waterfront development potential"",25,Agent Name,Brokerage Name"
"E4441456,Strathcona County Rural,Strathcona County,AB,2200000,Agricultural,,Agricultural,""Rural agricultural property"",30,Agent Name,Brokerage Name"
"E4441567,Edmonton Industrial,Edmonton,AB,8500000,Industrial,,Industrial,""Industrial development site"",15,Agent Name,Brokerage Name"
"E4441678,Fort Saskatchewan Development,Fort Saskatchewan,AB,4200000,Development,,Mixed Use,""Mixed use development"",20,Agent Name,Brokerage Name"
"E4441789,Beaumont Highway,Beaumont,AB,1800000,Commercial,,Commercial,""Highway commercial access"",10,Agent Name,Brokerage Name"
"E4441890,Sherwood Park Residential,Sherwood Park,AB,950000,Residential,,Residential,""Residential development lot"",5,Agent Name,Brokerage Name"
